,gid,pre,geometry
0,다사584438,0.6012636836706721,"MULTIPOLYGON (((127.0294072677652 37.49251589915733, 127.0294016124898 37.49341723642127, 127.0305328238086 37.49342173717013, 127.0305384654912 37.49252039976051, 127.0294072677652 37.49251589915733)))"
1,다사583441,0.332130390003666,"MULTIPOLYGON (((127.028259062929 37.49521539866132, 127.0282533933032 37.49611673536342, 127.029384645152 37.49612124738152, 127.0293903011832 37.49521991053336, 127.028259062929 37.49521539866132)))"
2,다사580448,0.236570166418379,"MULTIPOLYGON (((127.024825371476 37.5015111489766, 127.0248196592859 37.50241248426817, 127.025951005554 37.50241702981247, 127.0259567041454 37.50151569437377, 127.024825371476 37.5015111489766)))"
3,다사591477,0.21070399319693103,"MULTIPOLYGON (((127.0371086285771 37.52769926602377, 127.0371030587841 37.52860059889515, 127.0382348024432 37.52860502941503, 127.0382403586197 37.52770369640028, 127.0371086285771 37.52769926602377)))"
4,다사590447,0.156494827624457,"MULTIPOLYGON (((127.0361442854724 37.50065477852176, 127.036138709519 37.50155611540739, 127.0372700446994 37.50156055246199, 127.0372756070545 37.50065921543274, 127.0361442854724 37.50065477852176)))"
5,다사575464,0.15019891835549698,"MULTIPOLYGON (((127.019076198113 37.51590959565137, 127.0190704138082 37.51681092798373, 127.0202019764601 37.51681553008335, 127.0202077471564 37.51591419760206, 127.019076198113 37.51590959565137)))"
6,다사568455,0.12006513468092,"MULTIPOLYGON (((127.0112082663433 37.50776509072259, 127.0112023891365 37.50866642325063, 127.0123338275189 37.50867109986869, 127.0123396911228 37.50776976718929, 127.0112082663433 37.50776509072259)))"
7,다사607455,0.11283651372080801,"MULTIPOLYGON (((127.055334020736 37.50793944294322, 127.0553286740503 37.50884078111442, 127.05646012217 37.50884503508632, 127.0564654552523 37.50794369677743, 127.055334020736 37.50793944294322)))"
8,다사578453,0.110502854381051,"MULTIPOLYGON (((127.0225340074062 37.50600869927462, 127.0225282667402 37.50691003357775, 127.0236596805017 37.50691460153038, 127.0236654075659 37.5060132670794, 127.0225340074062 37.50600869927462)))"
9,다사594430,0.107617721705993,"MULTIPOLYGON (((127.0407634021887 37.48534970317609, 127.0407578848079 37.48625104298958, 127.0418889898862 37.48625543428975, 127.041894493679 37.48535409433411, 127.0407634021887 37.48534970317609)))"
10,다사608468,0.10131238800030401,"MULTIPOLYGON (((127.056396106649 37.51966108398708, 127.0563907704776 37.52056242049495, 127.0575223957335 37.52056666541522, 127.0575277182937 37.51966532876998, 127.056396106649 37.51966108398708)))"
11,다사598429,0.0979863885725167,"MULTIPOLYGON (((127.0452932324033 37.48446586232146, 127.045287769618 37.48536720284001, 127.0464188620851 37.4853715506859, 127.0464243112829 37.48447021002661, 127.0452932324033 37.48446586232146)))"
12,다사580413,0.0928295792210367,"MULTIPOLYGON (((127.0250251379287 37.46996432645184, 127.0250194346363 37.47086566659429, 127.0261503053072 37.47087020699122, 127.026155995022 37.46996886670177, 127.0250251379287 37.46996432645184)))"
13,다사595463,0.0899526943938091,"MULTIPOLYGON (((127.0417127390178 37.51509823971204, 127.0417072271292 37.51599957509506, 127.0428387811983 37.51600396024838, 127.0428442794789 37.51510262472343, 127.0417127390178 37.51509823971204)))"
14,다사545441,0.0862015900483734,"MULTIPOLYGON (((126.9852722019215 37.49503592124045, 126.9852660157107 37.49593725213282, 126.9863972575375 37.49594217576667, 126.9864034301542 37.49504084471493, 126.9852722019215 37.49503592124045)))"
15,다사562459,0.083215889648204,"MULTIPOLYGON (((127.0043958862971 37.51134212997236, 127.0043899264115 37.5122434610301, 127.0055214176313 37.51224820328352, 127.0055273639117 37.5113468720723, 127.0043958862971 37.51134212997236)))"
16,다사597472,0.0827020381487294,"MULTIPOLYGON (((127.0439264493359 37.52321901490496, 127.0439209624642 37.52412034932424, 127.0450526395224 37.52412471406873, 127.0450581127807 37.5232233795082, 127.0439264493359 37.52321901490496)))"
17,다사576450,0.080125548265427,"MULTIPOLYGON (((127.0202885099216 37.50329552830626, 127.0202827428227 37.50419686272855, 127.0214141152688 37.50420145190814, 127.0214198687678 37.50330011733733, 127.0202885099216 37.50329552830626)))"
18,다사580407,0.07918847568380499,"MULTIPOLYGON (((127.0250593523492 37.46455628268714, 127.0250536505807 37.46545762366102, 127.0261844397951 37.46546216317598, 127.0261901279897 37.4645608220551, 127.0250593523492 37.46455628268714)))"
19,다사554425,0.0775884018890196,"MULTIPOLYGON (((126.9955502509521 37.48065850668763, 126.9955441914086 37.48155984122083, 126.9966752182531 37.48156466486871, 126.996681264212 37.48066333017935, 126.9955502509521 37.48065850668763)))"
20,다사579451,0.0767568662990994,"MULTIPOLYGON (((127.0236768609292 37.5042105977616, 127.0236711343751 37.50511193248982, 127.0248025211888 37.50511648931114, 127.0248082341423 37.50421515443544, 127.0236768609292 37.5042105977616)))"
